Date,SPY,QQQ,IWM,VGK,EWJ,EEM,FXI,EWZ,EPI,EFA,IEF,TLT,LQD,JNK,EMB,PCY,GC=F,CL=F,NG=F,SI=F,DBA,EURUSD=X,JPYUSD=X,GBPUSD=X,AUDUSD=X,CNYUSD=X,VNQ,GLD,VXF,IYR
2008-03-07,92.87987518310547,36.229312896728516,51.57453536987305,34.02187728881836,34.85737609863281,30.289873123168945,29.77976417541504,36.693389892578125,18.64286994934082,40.59797286987305,58.93006896972656,53.949947357177734,52.31963348388672,38.074100494384766,42.28146743774414,9.515872955322266,972.2000122070312,105.1500015258789,9.769000053405762,20.158000946044922,33.53660202026367,1.5336012840270996,0.009737098589539528,2.0140175819396973,0.9278159141540527,0.1408172994852066,27.465774536132812,96.08999633789062,36.58330154418945,31.561622619628906
2008-03-14,92.8082504272461,36.38433074951172,51.715267181396484,34.11396408081055,33.46424102783203,29.7923526763916,28.203998565673828,36.389163970947266,18.257549285888672,40.731895446777344,59.68498229980469,55.57026672363281,51.736698150634766,37.245296478271484,42.352821350097656,9.665750503540039,998.2000122070312,110.20999908447266,9.868000030517578,20.573999404907227,34.75121307373047,1.561792254447937,0.01009795069694519,2.0199978351593018,0.9389671087265015,0.141230970621109,27.982744216918945,98.70999908447266,36.497947692871094,32.411983489990234
2008-03-21,95.0451431274414,37.13667678833008,52.7630615234375,33.55119705200195,34.97346496582031,29.215320587158203,27.81223487854004,33.9553337097168,17.700069427490234,40.44658279418945,60.21866989135742,56.84544372558594,52.56589126586914,37.54432678222656,42.516441345214844,9.628288269042969,919.5999755859375,101.83999633789062,9.0649995803833,16.80500030517578,30.407304763793945,1.5697108507156372,0.010043186135590076,1.9833006858825684,0.8974243998527527,0.14199502766132355,30.140745162963867,89.91000366210938,36.70307159423828,34.863868713378906
2008-03-28,94.63500213623047,37.48143005371094,53.40525817871094,34.94278335571289,36.163429260253906,30.34894371032715,29.95922088623047,34.90436553955078,18.96260643005371,41.71599197387695,59.56781768798828,55.89197540283203,52.726707458496094,38.23643493652344,42.4283332824707,9.721948623657227,930.5999755859375,105.62000274658203,9.800000190734863,17.899999618530273,31.714691162109375,1.5760937929153442,0.010088780894875526,1.9948930740356445,0.9170946478843689,0.14281225204467773,29.703012466430664,91.87999725341797,37.211952209472656,34.11345672607422
2008-04-04,98.50642395019531,39.523990631103516,55.731300354003906,36.4417839050293,37.092201232910156,31.980098724365234,32.084312438964844,38.005653381347656,18.62647247314453,43.55605697631836,59.40487289428711,55.92401885986328,53.54060745239258,38.49745178222656,42.66819763183594,9.688231468200684,909.0,106.2300033569336,9.321999549865723,17.722000122070312,32.406341552734375,1.5736879110336304,0.009850275702774525,1.994614601135254,0.921998918056488,0.14270424842834473,31.57170295715332,90.25,39.12916564941406,36.31840896606445
2008-04-11,95.98062896728516,38.162296295166016,53.83600997924805,35.41345977783203,36.36659240722656,31.655227661132812,31.274539947509766,37.53341293334961,18.610069274902344,42.29829788208008,59.391868591308594,56.20011901855469,53.3537712097168,38.70419692993164,42.9464111328125,9.796879768371582,923.5999755859375,110.13999938964844,9.901000022888184,17.667999267578125,32.54130172729492,1.5822033882141113,0.009905894286930561,1.9823178052902222,0.9292816519737244,0.1429286003112793,30.372112274169922,91.30000305175781,38.138999938964844,34.85197448730469
2008-04-18,99.65060424804688,40.25654983520508,56.130714416503906,36.72317886352539,38.02095413208008,33.150062561035156,32.24846267700195,39.85371017456055,20.225139617919922,43.85303497314453,58.37965393066406,54.496559143066406,52.98002243041992,39.26411437988281,42.895843505859375,9.634135246276855,912.2000122070312,116.69000244140625,10.586999893188477,17.802000045776367,32.7774772644043,1.5733908414840698,0.00963855441659689,1.9980818033218384,0.9338812828063965,0.14318646490573883,31.672067642211914,90.62000274658203,39.685394287109375,36.59270095825195
2008-04-25,100.45658111572266,40.635765075683594,56.310874938964844,36.85618591308594,38.02095413208008,33.2977409362793,34.62523651123047,39.77651596069336,20.5694637298584,44.03937530517578,57.83770751953125,53.938514709472656,52.80833435058594,39.45363998413086,42.697731018066406,9.713176727294922,887.2000122070312,118.5199966430664,10.963000297546387,16.84600067138672,31.056779861450195,1.5636972188949585,0.009578543715178967,1.9833006858825684,0.9332711696624756,0.1428571492433548,32.56576919555664,87.2699966430664,39.9141960144043,37.44198226928711
2008-05-02,101.83099365234375,42.031951904296875,56.81993865966797,36.968746185302734,38.80459213256836,33.995174407958984,35.813636779785156,42.41013717651367,20.90559196472168,44.534332275390625,57.751258850097656,54.00999069213867,53.5269775390625,39.892093658447266,43.15656661987305,9.750808715820312,856.0999755859375,116.31999969482422,10.777000427246094,16.381000518798828,30.677217483520508,1.5434004068374634,0.009496675804257393,1.9714922904968262,0.9372949600219727,0.14329726994037628,32.37461853027344,84.58000183105469,40.18638229370117,37.25209045410156
2008-05-09,99.95281219482422,41.5493278503418,55.99761199951172,36.840843200683594,38.10801696777344,33.39543151855469,33.268333435058594,42.17401123046875,19.282333374023438,44.1849365234375,58.3211555480957,54.53474426269531,53.63856506347656,39.70981979370117,43.0295524597168,9.788444519042969,884.5,125.95999908447266,11.536999702453613,16.843000411987305,31.52912712097168,1.5489946603775024,0.009727626107633114,1.954384684562683,0.9428625106811523,0.14331164956092834,31.261032104492188,87.41999816894531,40.170597076416016,36.08103561401367
2008-05-16,102.65851593017578,43.10062789916992,57.916385650634766,37.88962173461914,39.53016662597656,35.235565185546875,34.7412223815918,45.19810104370117,19.4954891204834,45.72220993041992,57.941261291503906,54.145626068115234,53.59798812866211,39.84870529174805,43.131134033203125,9.80505084991455,899.0,126.29000091552734,11.093999862670898,16.90399932861328,31.1242618560791,1.5596001148223877,0.009613536298274994,1.9567173719406128,0.9560229182243347,0.14321517944335938,32.561012268066406,89.0999984741211,41.51975631713867,37.51054000854492
2008-05-23,99.04617309570312,41.540714263916016,56.55364227294922,36.989200592041016,38.65946960449219,33.77935791015625,32.73869323730469,44.249122619628906,18.64286994934082,44.61002731323242,57.98710632324219,54.104366302490234,53.050193786621094,39.31064987182617,43.15234375,9.831504821777344,925.5999755859375,132.19000244140625,11.857000350952148,18.240999221801758,30.43260955810547,1.5785070657730103,0.009680542163550854,1.9823178052902222,0.9609841108322144,0.14426682889461517,30.983840942382812,91.2300033569336,40.296836853027344,35.73815155029297
2008-05-30,100.99627685546875,43.10062789916992,58.480289459228516,36.88175964355469,39.29798889160156,34.3723030090332,33.309906005859375,45.06190490722656,19.036386489868164,44.66824722290039,57.19445037841797,53.22593307495117,52.345123291015625,39.813995361328125,42.95332336425781,9.801262855529785,887.2999877929688,127.3499984741211,11.70300006866455,16.82699966430664,29.81686782836914,1.5540982484817505,0.009478673338890076,1.982789397239685,0.9564801454544067,0.1442481130361557,31.652952194213867,87.44999694824219,41.54341125488281,36.6296272277832
2008-06-06,98.0746841430664,42.25603485107422,57.89288330078125,35.66926193237305,38.71751022338867,32.87519073486328,30.983474731445312,43.04582977294922,17.232769012451172,43.29984664916992,57.82359313964844,53.70341873168945,52.545406341552734,39.706417083740234,43.07200622558594,9.593368530273438,895.4000244140625,138.5399932861328,12.692999839782715,17.39699935913086,31.75687026977539,1.5785070657730103,0.009532888419926167,1.9700162410736084,0.9631127715110779,0.14465081691741943,30.86436653137207,89.05999755859375,41.16469955444336,35.780357360839844
2008-06-13,97.97391510009766,41.68719482421875,57.42298126220703,34.7330207824707,37.67267608642578,32.08232116699219,30.276573181152344,41.23863220214844,17.462316513061523,42.20513153076172,56.49565887451172,52.585086822509766,51.46513748168945,39.5052604675293,42.59568405151367,9.494363784790039,870.2999877929688,134.86000061035156,12.625,16.540000915527344,34.228248596191406,1.5369009971618652,0.009246417321264744,1.9468889236450195,0.9397612810134888,0.14507681131362915,30.61585235595703,85.83000183105469,40.78995895385742,35.30033493041992
2008-06-20,95.15895080566406,40.896976470947266,56.83559036254883,33.960479736328125,36.511722564697266,31.169063568115234,29.197601318359375,40.4576416015625,16.265378952026367,41.197750091552734,56.93611145019531,53.141300201416016,51.83710861206055,39.146644592285156,42.4638557434082,9.532315254211426,901.2999877929688,134.6199951171875,12.994000434875488,17.386999130249023,33.82337951660156,1.5627930164337158,0.00931879598647356,1.973710298538208,0.9542895555496216,0.14555828273296356,29.703012466430664,88.94999694824219,40.3007926940918,34.0765266418457
2008-06-27,92.22996520996094,39.37045669555664,54.611351013183594,33.31586837768555,36.307716369628906,30.951772689819336,28.828536987304688,40.52818298339844,15.158604621887207,40.50008010864258,57.8104362487793,54.626495361328125,51.816741943359375,38.39451217651367,42.03432846069336,9.130072593688965,929.2999877929688,140.2100067138672,13.197999954223633,17.6200008392334,35.18981170654297,1.5752992630004883,0.009423294104635715,1.9940975904464722,0.9617233872413635,0.14594705402851105,28.25409698486328,91.47000122070312,38.69127655029297,32.504154205322266
2008-07-04,91.34765625,38.490753173828125,52.2996940612793,33.04983139038086,35.84111785888672,29.67188262939453,27.848827362060547,37.98544692993164,14.674908638000488,39.91862106323242,57.851131439208984,54.675140380859375,51.543087005615234,38.247802734375,41.9559211730957,9.353957176208496,931.9000244140625,145.2899932861328,13.57699966430664,18.28499984741211,35.451290130615234,1.5713881254196167,0.00936241913586855,1.983418583869934,0.9638553857803345,0.1460365653038025,27.634212493896484,92.05999755859375,36.91608810424805,31.65159797668457
2008-07-11,89.56134796142578,38.43040084838867,52.88140869140625,31.960098266601562,34.96623229980469,29.655799865722656,29.491291046142578,37.336055755615234,14.814277648925781,38.981170654296875,58.016109466552734,54.72859573364258,51.40489959716797,38.30072021484375,42.0882568359375,9.270468711853027,959.5,145.0800018310547,11.904000282287598,18.7450008392334,34.0595588684082,1.5948964357376099,0.009415308944880962,1.9894163608551025,0.9674922823905945,0.14650511741638184,27.435649871826172,95.16000366210938,36.98710250854492,31.369184494018555
